Date,Name,Year,Letterboxd URI,Rating,director,country,genres,themes,Major Genre,ratingCount,communityScoreRaw,communityScoreWeighted
2019-04-01,The Dawn Wall,2017,https://boxd.it/hCP0,4.5,Josh Lowell 2,austria,"['documentary', 'adventure']",[],documentary,15000,10,3.99
2019-04-01,Lady Bird,2017,https://boxd.it/dGNE,3.5,Greta Gerwig,usa,"['drama', 'comedy']","['Underdogs and coming of age', 'Moving relationship stories', 'Relationship comedy']",drama,880840,10,3.88
2019-04-01,Jurassic World,2015,https://boxd.it/4n0g,3.0,Colin Trevorrow,usa,"['science-fiction', 'adventure', 'action', 'thriller']","['Monsters, aliens, sci-fi and the apocalypse', 'Epic heroes']",science-fiction,412473,4,3.01
2019-04-01,Green Room,2015,https://boxd.it/a75m,3.5,Jeremy Saulnier,usa,"['crime', 'horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",crime,175248,9,3.7
2019-04-01,Apostle,2018,https://boxd.it/f0so,3.5,Gareth Evans,usa,"['thriller', 'drama', 'mystery', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",thriller,56507,7,3.12
2019-04-30,Friday the 13th,2009,https://boxd.it/1QAw,2.5,Marcus Nispel,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,61959,4,2.51
2020-01-07,Marriage Story,2019,https://boxd.it/hJAw,3.0,Noah Baumbach,uk,['drama'],"['Moving relationship stories', 'Relationship comedy']",drama,599177,9,3.99
2020-01-07,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,4.0,Jj Abrams,usa,"['science-fiction', 'adventure', 'action']","['Epic heroes', 'Monsters, aliens, sci-fi and the apocalypse', 'Epic history and literature']",science-fiction,512760,2,2.55
2020-01-07,It,2017,https://boxd.it/bC8e,4.0,Andy Muschietti,usa,"['horror', 'fantasy']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",horror,684315,8,3.52
2020-01-07,Raw,2016,https://boxd.it/dLd2,5.0,Julia Ducournau,belgium,"['horror', 'drama']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,194429,9,3.7
2020-01-08,Free Solo,2018,https://boxd.it/iEEq,4.5,Elizabeth Chai Vasarhelyi,usa,"['adventure', 'documentary']","['Humanity and the world around us', 'Underdogs and coming of age']",adventure,98828,7,3.97
